DATE,TVEXPUKA
1809-01-01,1359
1810-01-01,1310
1811-01-01,908
1812-01-01,1204
1813-01-01,1612
1814-01-01,1565
1815-01-01,1791
1816-01-01,1541
1817-01-01,1543
1818-01-01,1702
1819-01-01,1415
1820-01-01,1533
1821-01-01,1621
1822-01-01,1655
1823-01-01,1642
1824-01-01,1818
1825-01-01,1709
1826-01-01,1648
1827-01-01,1920
1828-01-01,1954
1829-01-01,2103
1830-01-01,2096
1831-01-01,2191
1832-01-01,2361
1833-01-01,2408
1834-01-01,2537
1835-01-01,2781
1836-01-01,2910
1837-01-01,2646
1838-01-01,3127
1839-01-01,3243
1840-01-01,3412
1841-01-01,3561
1842-01-01,3473
1843-01-01,3853
1844-01-01,4172
1845-01-01,4246
1846-01-01,4165
1847-01-01,4335
1848-01-01,4253
1849-01-01,5495
1850-01-01,5841
1851-01-01,6187
1852-01-01,6505
1853-01-01,7489
1854-01-01,7448
1855-01-01,7618
1856-01-01,8758
1857-01-01,8852
1858-01-01,8805
1859-01-01,9612
1860-01-01,10168
1861-01-01,9829
1862-01-01,9354
1863-01-01,10060
1864-01-01,10053
1865-01-01,10962
1866-01-01,11783
1867-01-01,11973
1868-01-01,12855
1869-01-01,13445
1870-01-01,14320
1871-01-01,16609
1872-01-01,16805
1873-01-01,16216
1874-01-01,16412
1875-01-01,16478
1876-01-01,16412
1877-01-01,16805
1878-01-01,17066
1879-01-01,18178
1880-01-01,20009
1881-01-01,21447
1882-01-01,21840
1883-01-01,22624
1884-01-01,22494
1885-01-01,21643
1886-01-01,22232
1887-01-01,23474
1888-01-01,24913
1889-01-01,26025
1890-01-01,25959
1891-01-01,24717
1892-01-01,24521
1893-01-01,23147
1894-01-01,24324
1895-01-01,26090
1896-01-01,27201
1897-01-01,27332
1898-01-01,27398
1899-01-01,28705
1900-01-01,27528
1901-01-01,28248
1902-01-01,29425
1903-01-01,30602
1904-01-01,31125
1905-01-01,33871
1906-01-01,36094
1907-01-01,38383
1908-01-01,35571
1909-01-01,37598
1910-01-01,40410
1911-01-01,41456
1912-01-01,43745
1913-01-01,45183
1914-01-01,37478
1915-01-01,31104
1916-01-01,35905
1917-01-01,25617
1918-01-01,20010
1919-01-01,29369
1920-01-01,31507
1921-01-01,25011
